County,PerCapitaIncome,TotalPersonalIncome,MedianHouseholdIncome,AverageAnnualPay,PercentPopinPoverty,PercentUnder18inPoverty
Anderson,34242,1987998000,45969,44146,19.8,22.6
Andrews,50011,906592000,84946,68340,10.7,14
Angelina,38897,3387655000,46653,40464,17.9,26.7
Aransas,48389,1151262000,46912,38613,19.9,34.7
Archer,50310,442022000,61190,38231,10.6,14.3
Armstrong,47995,90807000,57210,38485,10.7,15.3
Atascosa,36660,1844379000,50594,51710,15.7,23.9
Austin,50702,1520493000,59942,47874,10.2,16.9
Bailey,42507,298694000,45051,39757,15.8,26.1
Bandera,43459,991906000,53008,35860,13.4,22.8
Bastrop,36561,3179953000,61883,39288,12.6,19.2
Baylor,41704,149384000,41180,35155,16.1,28.6
Bee,28457,927329000,41806,37001,26.7,32
Bell,42773,15211864000,54292,46975,13,19.1
Bexar,46058,91473170000,54210,50720,17.2,23.7
Blanco,51968,608130000,64832,48527,10.1,17.2
Borden,63756,41314000,66101,38302,10,14.5
Bosque,41592,777395000,48460,38772,14.9,24
Bowie,40010,3773940000,47339,40397,19.1,25.5
Brazoria,47239,17487902000,74225,59130,10.1,13.1
Brazos,39216,8892606000,50113,41593,23.2,20.2
Brewster,45652,423060000,45670,40768,16,21.2
Briscoe,35243,53429000,44409,32256,16.2,24.3
Brooks,33861,240890000,30116,43551,31,48.6
Brown,38830,1472596000,47097,37921,13.2,21.2
Burleson,42629,783900000,53626,45600,14.8,23.7
Burnet,46516,2211485000,56696,42591,11,18.6
Caldwell,33668,1456019000,52588,39602,14.1,20.7
Calhoun,38668,833716000,52085,66625,14.2,24
Callahan,39392,551248000,50330,42182,12,20.2
Cameron,28756,12189811000,38106,33599,27.9,40.2
Camp,38660,503851000,43714,39208,18.8,30.5
Carson,46373,278471000,64799,82411,8.9,12.2
Cass,36905,1111548000,44154,36834,20.4,32
Castro,42786,327951000,45689,36980,17.5,24.2
Chambers,53673,2278642000,89513,63980,8.5,10.9
Cherokee,34468,1812735000,43483,36122,17.4,24.6
Childress,30084,219339000,42291,38109,21.2,25.4
Clay,42335,442652000,58356,37220,10.9,16.9
Cochran,38312,108652000,42873,40099,21.9,31.8
Coke,41895,141187000,44804,40418,14.1,21.4
Coleman,40669,341499000,39484,30611,19.3,30.6
Collin,65874,66212712000,96936,66886,6.4,6.7
Collingsworth,33039,97861000,39536,40303,17.3,26.7
Colorado,46821,993400000,48258,42474,13.7,21.9
Comal,58067,8615549000,76523,43403,7.1,10.2
Comanche,42465,574718000,52251,34632,16.4,25
Concho,19801,84671000,40987,38074,26.6,25.7
Cooke,54174,2198055000,52047,46907,14.8,24.9
Coryell,33996,2543205000,48099,42286,15,20.1
Cottle,57288,79573000,38304,39743,21.2,40.1
Crane,47758,228953000,61987,66667,10.1,13.6
Crockett,41472,145110000,49117,41530,15.3,23.4
Crosby,30773,177835000,37911,36904,23.7,37.1
Culberson,54180,119412000,42164,51634,20.3,32.7
Dallam,52148,375466000,50587,44322,12.1,18.1
Dallas,58993,1.56E+11,59838,68484,14.2,20.7
Dawson,37111,468302000,43726,40178,22.9,29.9
Deaf Smith,40470,759213000,44230,41992,17.5,25.3
Delta,34803,186160000,44410,25868,17.2,26
Denton,55933,48049894000,88384,50734,7.3,8.1
DeWitt,54549,1101182000,49208,44910,18.4,25.2
Dickens,31586,71036000,39627,32808,20.3,27.5
Dimmit,36639,377675000,37177,55874,24.6,35.8
Donley,45736,151799000,40945,35153,18.6,27.8
Duval,36418,408323000,35156,38553,25.5,36.1
Eastland,71142,1303469000,44773,54155,18.7,26.1
Ector,47271,7663693000,60431,61871,12.9,17.9
