County,TeenBirthRate
Brooks,109.000
Zapata,89.000
Swisher,87.000
Reeves,86.000
Deaf Smith,85.000
Scurry,84.000
Terry,83.000
Dallam,82.000
Crockett,82.000
Jim Hogg,80.000
Starr,80.000
Moore,78.000
Childress,77.000
Frio,77.000
Ector,76.000
Presidio,76.000
Bailey,76.000
Zavala,76.000
Pecos,76.000
Val Verde,73.000
La Salle,73.000
Dawson,73.000
Potter,73.000
Gray,72.000
Andrews,72.000
Howard,72.000
Mitchell,72.000
Culberson,71.000
Nolan,71.000
Webb,71.000
Maverick,69.000
Reagan,69.000
Lamb,68.000
Duval,68.000
Ochiltree,68.000
Crosby,68.000
Jim Wells,68.000
Castro,68.000
Dickens,66.000
Cottle,66.000
Floyd,66.000
Camp,65.000
Hale,65.000
Hudspeth,65.000
Navarro,65.000
Gonzales,64.000
Dimmit,64.000
Bee,64.000
Ward,63.000
Cherokee,63.000
Yoakum,63.000
Hidalgo,62.000
Uvalde,62.000
Falls,62.000
Calhoun,62.000
Hemphill,62.000
Sutton,62.000
Cameron,61.000
Winkler,60.000
Martin,60.000
Coleman,60.000
Midland,60.000
Edwards,59.000
Kinney,59.000
Polk,59.000
Gregg,59.000
Wilbarger,59.000
Palo Pinto,59.000
Willacy,58.000
Matagorda,58.000
Bowie,57.000
Hutchinson,56.000
Lamar,56.000
Shelby,56.000
Titus,56.000
Tyler,56.000
Victoria,56.000
Gaines,56.000
Llano,56.000
Parmer,55.000
Jones,55.000
Trinity,55.000
Limestone,55.000
Liberty,55.000
Stephens,55.000
San Augustine,55.000
Rusk,55.000
Refugio,55.000
Anderson,54.000
Upton,54.000
Robertson,54.000
Garza,53.000
Lynn,53.000
Young,53.000
Wharton,53.000
Leon,52.000
Comanche,52.000
El Paso,52.000
Jasper,52.000
Red River,52.000
Hall,52.000
Milam,51.000
DeWitt,51.000
Aransas,51.000
San Patricio,51.000
Crane,51.000
Orange,51.000
Lipscomb,51.000
Karnes,51.000
Marion,50.000
San Jacinto,50.000
Atascosa,50.000
Cass,50.000
Angelina,50.000
Hockley,49.000
Madison,49.000
Wichita,49.000
Bell,49.000
San Saba,48.000
Nueces,48.000
McCulloch,48.000
Fisher,48.000
Delta,48.000
Cochran,48.000
Hopkins,48.000
Morris,47.000
Panola,47.000
Newton,47.000
Hansford,47.000
Jefferson,47.000
Freestone,46.000
Baylor,46.000
Concho,46.000
Dallas,46.000
Henderson,46.000
Hardin,46.000
Cooke,46.000
Burleson,46.000
Sabine,46.000
Jeff Davis,45.000
Harrison,45.000
Sterling,45.000
Hardeman,45.000
Grayson,45.000
Wheeler,44.000
Upshur,44.000
Runnels,44.000
Taylor,44.000
Collingsworth,44.000
Houston,44.000
Montague,43.000
Caldwell,42.000
Jack,42.000
Eastland,42.000
Jackson,42.000
Tom Green,42.000
Hill,41.000
Grimes,41.000
Harris,41.000
Johnson,41.000
Kleberg,41.000
Kimble,41.000
Brown,41.000
Kerr,41.000
Lampasas,40.000
Smith,40.000
Bexar,40.000
Hamilton,40.000
Colorado,40.000
Lee,40.000
Haskell,40.000
Fannin,39.000
Donley,39.000
Lubbock,39.000
Coke,39.000
Hunt,39.000
McLennan,39.000
Shackelford,39.000
Burnet,38.000
Bastrop,38.000
Mills,38.000
Armstrong,37.000
Wood,37.000
Hood,37.000
Van Zandt,37.000
Coryell,37.000
Brewster,37.000
Hartley,37.000
Franklin,37.000
Real,36.000
Wise,36.000
Kaufman,36.000
Brazoria,36.000
Live Oak,36.000
Austin,36.000
Medina,36.000
Lavaca,35.000
Tarrant,35.000
Menard,35.000
Gillespie,34.000
Stonewall,33.000
Galveston,33.000
Callahan,33.000
Schleicher,33.000
Rains,32.000
Ellis,32.000
Bosque,32.000
Travis,31.000
Knox,31.000
Goliad,31.000
Montgomery,30.000
Clay,30.000
Parker,30.000
Comal,30.000
Guadalupe,30.000
Washington,29.000
Nacogdoches,29.000
Randall,29.000
Chambers,29.000
Somervell,28.000
Archer,28.000
Fayette,27.000
Irion,27.000
Carson,27.000
Waller,26.000
Sherman,26.000
Blanco,26.000
Wilson,26.000
Mason,23.000
Oldham,23.000
Bandera,22.000
Walker,22.000
Erath,21.000
Hays,21.000
Brazos,20.000
Williamson,19.000
Denton,18.000
Fort Bend,15.000
Kendall,15.000
Rockwall,15.000
Collin,14.000
